transaction_id,user_id,transaction_amount,hour_of_day,is_new_device,is_new_ip,is_foreign_country,distance_from_usual_km,is_phishing_detected,is_fraud_label
TXN_241E335903,USR_6851,216.36,7,0,0,0,15.65,0,0
TXN_AB53422A0F,USR_7996,22.97,17,0,0,0,7.05,0,0
TXN_ED849D7A3D,USR_8679,14.25,8,1,1,0,6.93,0,0
TXN_4192AE8A28,USR_7938,41.17,13,0,0,0,0.21,0,0
TXN_3412F507CD,USR_9872,67.23,10,0,0,0,3.18,0,0
TXN_21A2CC1947,USR_9623,43.91,0,0,0,0,4.55,0,0
TXN_4B1DFC209D,USR_5098,52.02,16,0,0,0,17.28,0,0
TXN_9055B2E21F,USR_5147,2820.66,5,1,1,1,1436.54,1,1
TXN_40A364911B,USR_3857,16.83,12,0,0,0,16.81,0,0
TXN_35523BD908,USR_3395,21.29,12,0,0,0,28.04,0,0
TXN_A197507D83,USR_5370,0.81,23,1,1,1,9597.98,1,1
TXN_5D4D720214,USR_3000,4395.38,22,1,1,1,10291.64,0,1
TXN_683AC94BBC,USR_3184,44.99,16,1,0,0,17.27,0,0
TXN_995654CF6A,USR_9217,15.49,12,0,0,0,9.19,0,0
TXN_57AEE89902,USR_3945,19.3,15,0,0,0,4.34,0,0
TXN_3709D7DA82,USR_6558,67.65,3,0,1,0,13.1,0,0
TXN_18D7124952,USR_4216,171.46,6,0,0,0,1.64,0,0
TXN_6411F9CA2D,USR_7895,287.13,11,0,0,0,8.62,0,0
TXN_29097F7BBD,USR_2162,2.67,14,0,0,0,19.05,0,0
TXN_D6EDC35554,USR_8506,18.57,20,0,0,0,34.53,0,0
TXN_A18F41CA61,USR_7900,93.95,9,0,0,0,34.79,0,0
TXN_69A7613E88,USR_7979,23.12,8,0,0,0,1.98,1,0
TXN_1D114FB733,USR_6986,46.26,15,0,0,0,1.37,0,0
TXN_F6109AB848,USR_8177,155.59,10,0,0,0,15.3,0,0
TXN_9F820E4262,USR_3049,39.56,23,1,0,0,3.14,0,0
TXN_0FF7948B8A,USR_2294,65.63,10,0,0,0,33.1,0,0
TXN_368DFC6608,USR_5338,15.57,12,0,0,0,16.7,0,0
TXN_A31FEC58C2,USR_8891,91.05,16,0,0,0,37.75,0,0
TXN_0BFEDC18B4,USR_2096,63.56,14,0,0,0,6.73,0,0
TXN_F0CF44BD11,USR_5570,3070.92,22,0,1,1,3697.39,1,1
TXN_03C9DB78AD,USR_2440,177.03,11,0,0,0,20.16,0,0
TXN_20C1F7E9F0,USR_8489,121.21,0,1,0,0,25.79,0,0
TXN_868A8EA5A0,USR_3160,6.49,14,0,0,0,28.11,0,0
TXN_F24DB4ED3D,USR_2829,60.77,18,0,0,0,2.75,1,0
TXN_AB1B44B4F4,USR_7981,17.1,11,0,0,0,5.71,0,0
TXN_FA5853382C,USR_2744,103.04,7,0,0,0,10.78,0,0
TXN_2FE6BCAEFC,USR_2790,7.89,10,0,1,0,25.4,0,0
TXN_78054E8428,USR_1257,31.43,8,0,0,0,11.87,0,0
TXN_C38347ABED,USR_5173,19.01,17,0,1,0,35.92,0,0
TXN_A382DB663E,USR_8849,34.94,9,0,0,0,13.04,0,0
TXN_4FBD15A65F,USR_9446,139.52,10,0,0,0,4.82,0,0
TXN_CF4829ABEB,USR_4280,79.36,16,0,0,0,0.84,0,0
TXN_62056F65FE,USR_7635,157.54,14,0,0,1,8.07,0,0
TXN_77DCE460DC,USR_1746,50.47,10,0,0,0,1.27,0,0
TXN_36CF540A5F,USR_4597,50.5,11,0,0,0,29.91,0,0
TXN_697A71BF04,USR_3551,26.02,13,0,1,0,34.72,0,0
TXN_5A6FBDFCFB,USR_6193,224.57,11,0,0,0,27.15,0,0
TXN_3C22B6D9A1,USR_6398,47.11,11,0,0,0,9.93,0,0
TXN_51AA627869,USR_1211,4086.55,1,1,1,1,8885.34,0,1
TXN_1940F866E2,USR_2111,23.24,14,0,0,0,26.47,0,0
TXN_1AFE4CBABE,USR_8691,498.18,14,0,1,1,6.44,0,0
TXN_CB24319A4D,USR_8984,342.64,20,0,0,0,14.48,0,0
TXN_918F4344F8,USR_9905,52.05,17,1,0,0,32.12,0,0
TXN_7D8641A7E3,USR_4322,110.5,9,0,1,0,56.25,0,0
TXN_77825E7A5A,USR_3537,36.74,19,1,0,0,0.02,0,0
TXN_2BAEC06318,USR_3246,1381.72,1,1,1,1,1036.26,1,1
TXN_540CA33C1B,USR_9416,14.67,14,0,0,0,7.89,0,0
TXN_7C552071DD,USR_1014,39.1,12,0,0,0,31.83,0,0
TXN_D4906332E3,USR_6633,15.07,9,0,1,0,1.2,0,0
TXN_10B6B8731F,USR_9152,24.92,16,0,0,0,1.4,0,0
TXN_BF7E71ADB6,USR_6885,34.56,15,0,0,0,2.74,0,0
TXN_5D6E724A1C,USR_1862,507.57,15,0,0,0,8.96,0,0
TXN_56FD5D7108,USR_5289,39.14,10,0,0,0,22.67,0,0
TXN_B3683D773D,USR_6639,35.5,7,0,0,0,38.04,0,0
TXN_4C33B1507A,USR_7837,35.88,19,0,0,0,23.69,0,0
TXN_814EB2AA4B,USR_1689,9.37,19,0,0,1,12.32,0,0
TXN_E555CE8AC4,USR_7176,31.55,13,0,0,0,34.72,0,0
TXN_30DFC5CA0E,USR_8777,14.25,18,0,0,0,1.03,0,0
TXN_618A1DA342,USR_4532,1856.55,3,1,1,1,10943.18,1,1
TXN_95221EFBF3,USR_4307,53.95,14,0,0,0,5.89,0,0
TXN_4CC27F0AC3,USR_4240,314.55,8,0,0,0,26.48,0,0
TXN_7498212ADD,USR_9744,43.4,8,0,0,0,26.64,0,0
TXN_4B17E67D6C,USR_4504,46.58,8,0,0,0,3.99,0,0
TXN_A400390F33,USR_9106,13.53,9,0,0,0,18.53,0,0
TXN_CF382BF223,USR_4909,52.24,7,0,0,0,34.79,0,0
TXN_BE5048FFE5,USR_2210,292.58,9,0,0,1,1.75,0,0
TXN_474D04EEC5,USR_5715,10.71,7,0,0,0,14.7,0,0
TXN_CC67B544D1,USR_8872,450.49,6,0,0,0,23.73,0,0
TXN_8B75075C18,USR_9623,22.1,16,0,0,0,24.24,0,0
TXN_E0B242E456,USR_6766,36.85,12,0,0,0,0.82,0,0
TXN_9EAC88357A,USR_7637,59.43,14,1,0,0,19.3,0,0
TXN_C3F111876D,USR_7393,186.92,8,0,0,0,13.15,0,0
TXN_4CC6DF8A54,USR_9518,2233.39,0,1,1,1,5494.73,1,1
TXN_DAD09CC414,USR_4374,382.43,8,0,0,0,21.17,0,0
TXN_C0508B6C8A,USR_6825,72.05,10,0,0,0,40.08,0,0
TXN_66D7D9040A,USR_1107,0.52,3,1,1,1,4285.44,1,1
TXN_259FB7C0F0,USR_4868,215.92,10,0,0,0,13.11,0,0
TXN_E8E848EC9E,USR_5718,0.14,4,1,1,1,8524.41,1,1
TXN_27B06B926D,USR_1136,54.92,13,0,1,0,3.46,0,0
TXN_C3BC03D9FA,USR_4623,28.65,7,0,0,1,16.84,0,0
TXN_DB2A9E26F6,USR_1488,18.91,11,0,0,0,6.06,1,0
TXN_4F13F8CD57,USR_1626,49.91,11,0,0,0,11.59,0,0
TXN_F36AE048C1,USR_7212,62.27,16,0,0,0,15.56,0,0
TXN_4147EB52B0,USR_1662,112.12,9,0,0,0,40.29,0,0
TXN_AD3E26C46C,USR_1339,103.24,9,0,0,0,3.85,0,0
TXN_5BFDE3FB51,USR_4108,66.25,9,0,0,0,3.51,0,0
TXN_B2CEC671B8,USR_8584,37.95,10,0,0,0,16.6,0,0
TXN_AC64F1DA5A,USR_2072,63.39,15,0,0,0,25.87,0,0
TXN_3605498AB3,USR_7645,142.65,22,0,0,0,5.89,0,0
TXN_EB676DA320,USR_4124,64.51,15,0,0,0,13.93,0,0
TXN_B7E02E908D,USR_7353,35.36,16,0,0,0,26.32,0,0
TXN_17F54C146A,USR_8281,56.25,11,0,0,0,10.24,0,0
TXN_0BFEEFF599,USR_9128,2550.01,23,0,1,0,1767.65,0,1
TXN_69DA72EA52,USR_3628,108.83,8,0,0,0,6.86,0,0
TXN_5760381847,USR_4107,105.81,7,0,0,0,6.4,0,0
TXN_4B742ED787,USR_1043,49.75,6,0,0,0,24.23,0,0
TXN_1D72208574,USR_2894,42.92,2,0,0,0,7.73,0,0
TXN_C4C47A357A,USR_1467,22.26,19,0,0,0,17.26,0,0
TXN_87CC269FD3,USR_5457,46.06,11,0,1,0,7.36,0,0
TXN_D9443D12E2,USR_2989,58.81,12,0,0,0,18.91,1,0
TXN_D302086C47,USR_5251,218.1,12,0,0,0,10.7,0,0
TXN_292CB63C48,USR_5325,8.99,12,0,0,0,25.8,0,0
TXN_6E3FE9C49E,USR_3960,3147.34,23,1,1,1,10034.86,1,1
TXN_5C2A1EC87A,USR_9675,3794.14,3,0,1,1,13225.55,1,1
TXN_0B7CEB3D6E,USR_3806,43.68,17,0,0,0,4.95,0,0
TXN_CE7A630FC5,USR_8208,23.49,1,0,0,0,0.21,0,0
TXN_78449B93EE,USR_4069,127.53,8,0,0,0,26.11,0,0
TXN_A86317E676,USR_7878,78.04,11,0,1,1,0.28,0,0
TXN_C83269061E,USR_8748,16.65,10,1,0,0,7.63,0,0
TXN_941561B275,USR_2136,20.26,11,0,0,0,5.0,0,0
TXN_24AC5DD74F,USR_7795,18.47,13,0,0,0,34.28,1,0
TXN_0C258F622F,USR_9032,111.42,17,0,0,0,8.81,0,0
TXN_FBF90EC3DD,USR_3465,16.79,12,0,0,0,11.31,0,0
TXN_F6E3F37115,USR_7048,47.13,2,0,0,0,28.12,0,0
TXN_B01BBE02AD,USR_6390,30.98,12,0,0,0,1.43,0,0
TXN_70B48103F1,USR_5438,43.26,9,0,0,0,14.13,0,0
TXN_8B3CA74057,USR_1329,44.02,20,1,0,0,45.05,0,0
TXN_3302F869DD,USR_3846,57.35,6,1,0,0,43.47,0,0
TXN_29E06663CF,USR_7115,7.65,7,0,0,0,19.48,0,0
TXN_7FECBBEE0E,USR_6714,208.2,11,0,0,0,5.95,1,0
TXN_4917436219,USR_7681,141.13,19,0,0,0,33.8,0,0
TXN_563BBEDA4E,USR_4944,21.82,14,0,0,0,8.53,0,0
TXN_A7E4BF2D77,USR_8395,51.95,12,0,0,0,15.97,0,0
TXN_74E699872A,USR_1181,57.6,14,0,0,0,8.7,0,0
TXN_C94E13B897,USR_4907,34.57,20,0,0,0,18.57,0,0
TXN_5344CCF213,USR_6909,14.03,19,0,1,0,33.3,0,0
TXN_406E91710A,USR_3744,10.14,17,0,0,0,7.63,1,0
TXN_BC6DCAF5AD,USR_3633,61.04,8,0,0,0,21.17,0,0
TXN_DB61AB4E3A,USR_4740,8.75,14,0,0,0,23.18,1,0
TXN_A007A35FA6,USR_6037,48.08,13,0,0,0,29.25,0,0
TXN_E831C82FEF,USR_6152,1130.34,22,1,0,1,12321.26,1,1
TXN_950E595CAF,USR_6691,177.27,9,0,0,0,16.04,0,0
TXN_705EFE2F68,USR_6867,63.77,9,0,0,0,1.14,0,0
TXN_5ECCA075D5,USR_7024,268.59,20,1,0,0,62.84,0,0
TXN_0FECF2D8BB,USR_6651,93.04,6,0,0,0,2.0,0,0
TXN_A2BDE6314E,USR_3117,34.55,3,0,0,0,18.02,0,0
TXN_496DCC716B,USR_8341,23.55,13,0,0,0,2.67,0,0
TXN_8989425E2E,USR_8987,2.52,7,0,0,1,2.25,0,0
TXN_FAFC9274D3,USR_7748,51.57,12,0,0,0,2.7,0,0
TXN_F532351E75,USR_1975,129.68,18,0,0,0,14.99,0,0
TXN_BEF38D4BBB,USR_4007,71.14,18,0,0,0,44.03,0,0
TXN_C844F3F8BB,USR_2143,49.35,19,0,0,0,4.89,0,0
TXN_405AC7583B,USR_7402,69.84,11,0,0,0,19.14,0,0
TXN_074F23E1C4,USR_2304,2907.88,2,1,1,1,327.56,0,1
TXN_86B9C02ACD,USR_9379,166.54,7,0,0,0,67.01,0,0
TXN_0CDB2ADF08,USR_6289,13.04,10,0,0,0,15.94,0,0
TXN_42536B2301,USR_6615,66.54,8,0,0,0,14.83,0,0
TXN_EF9A65C1EF,USR_5038,204.79,14,1,1,0,1.92,0,0
TXN_81479DAE65,USR_3857,18.89,22,0,0,0,2.82,0,0
TXN_552B77662D,USR_9278,50.27,12,0,0,0,8.42,0,0
TXN_C90E55A07F,USR_4266,326.98,12,1,0,0,8.12,0,0
TXN_3168894F79,USR_6917,13.74,12,0,0,0,6.25,0,0
TXN_7C3D385E9F,USR_5989,89.76,7,0,0,0,12.03,0,0
TXN_018AFCF8E4,USR_6271,59.97,6,0,0,0,0.15,0,0
TXN_03071C2964,USR_9273,33.11,12,0,1,0,45.49,0,0
TXN_C89EB63043,USR_9353,123.13,14,0,0,0,1.38,0,0
TXN_F4A66A584F,USR_5113,200.24,11,0,0,0,21.47,0,0
TXN_A699AE7CC5,USR_5263,42.01,13,0,0,0,5.33,0,0
TXN_0562F40342,USR_9948,44.58,4,0,0,0,25.4,0,0
TXN_48CCD72A68,USR_5016,12.18,18,0,0,0,12.23,0,0
TXN_ECE9774973,USR_5003,15.29,2,0,0,0,20.78,0,0
TXN_B67CC893E9,USR_1822,47.0,15,0,1,0,2.16,0,0
TXN_583AF18C57,USR_8074,28.74,18,0,0,0,5.41,0,0
TXN_708CDDFD27,USR_8060,38.62,11,0,0,0,6.08,0,0
TXN_EF8C80AA1F,USR_4747,92.15,16,0,0,0,1.77,0,0
TXN_BB44859113,USR_3218,19.21,11,0,0,0,30.16,0,0
TXN_AD59E4D1A5,USR_3790,0.69,5,1,1,0,1121.31,0,1
TXN_EF73BD1C4A,USR_8206,219.12,9,0,0,0,36.67,0,0
TXN_4700AECD06,USR_7564,302.54,19,0,0,0,28.74,0,0
TXN_97FF513AC5,USR_2421,271.21,18,0,0,0,11.26,1,0
TXN_8609FCC29D,USR_8014,25.6,11,0,0,0,23.02,0,0
TXN_C6CFB3DD77,USR_8957,87.65,9,0,0,0,40.87,0,0
TXN_C7C78A2282,USR_6289,0.42,0,1,1,1,6154.49,0,1
TXN_AD64746421,USR_7002,272.31,10,0,0,0,4.11,0,0
TXN_BF08C674B4,USR_6253,18.95,16,0,0,0,4.76,0,0
TXN_0DE273A327,USR_2350,30.57,19,0,0,1,54.01,0,0
TXN_95E38473D4,USR_2813,17.49,20,0,0,0,16.58,0,0
TXN_3C85523CF2,USR_7665,15.85,14,0,0,0,0.52,0,0
TXN_0BA3054CBE,USR_8069,180.67,2,0,1,0,0.6,0,0
TXN_A4099ED120,USR_7202,61.58,14,1,0,0,28.74,0,0
TXN_F4DD5A1034,USR_3810,55.97,9,0,0,0,2.08,0,0
TXN_58E2618184,USR_8341,35.48,13,0,0,0,4.89,0,0
TXN_3CD4DE2E42,USR_6278,33.39,7,0,0,0,40.2,0,0
TXN_3C9086F17B,USR_6697,3603.19,22,1,1,1,13273.59,0,1
TXN_4FE7B089E9,USR_9474,53.87,7,0,0,0,20.4,0,0
TXN_9F2FC0E777,USR_1251,119.62,4,0,0,0,1.99,0,0
TXN_E6E340BD27,USR_3264,7.24,14,1,0,0,0.51,0,0
TXN_4D3F05833C,USR_3251,65.08,15,0,1,0,0.29,0,0
TXN_02F4367342,USR_1440,181.15,9,0,1,0,15.97,0,0
TXN_2D826A5221,USR_6201,0.71,5,1,1,0,9588.07,1,1
TXN_919F259BF9,USR_9055,12.98,3,0,0,0,94.99,0,0
TXN_9538BCBAF0,USR_3415,59.13,17,0,0,0,3.63,0,0
TXN_8C0DDD2087,USR_6430,377.21,3,0,0,0,42.14,0,0
TXN_4EC78E3D52,USR_4081,65.53,20,0,1,0,10.39,1,0
TXN_78A9D43AF5,USR_5554,16.25,10,0,0,0,34.17,0,0
TXN_2CB9E73FC9,USR_7255,112.97,10,0,1,0,8.73,0,0
TXN_42BAE7B277,USR_5003,16.78,10,0,0,0,25.4,0,0
TXN_8E8DF20D10,USR_9490,408.93,9,0,0,0,21.06,0,0
TXN_2CF62C991B,USR_9989,16.54,14,0,0,0,6.55,0,0
TXN_427B1296A4,USR_5822,1853.94,22,1,0,1,1993.51,1,1
TXN_42C09A3CCD,USR_8074,4100.85,0,1,1,0,7257.02,1,1
TXN_6A66AB446B,USR_3414,445.22,18,0,0,0,8.85,0,0
TXN_384E5FC047,USR_1066,388.99,9,0,0,0,4.63,0,0
TXN_0A10B1AC8C,USR_1713,23.27,19,0,0,0,0.44,0,0
TXN_6E0BAA9B94,USR_3703,451.28,14,0,0,0,31.96,0,0
TXN_EC69A8BB89,USR_6392,31.61,22,0,0,0,9.75,0,0
TXN_E075475C51,USR_9122,36.29,14,0,0,0,9.06,0,0
TXN_9C899237A7,USR_7152,94.52,12,0,0,1,19.39,0,0
TXN_4056170630,USR_8129,66.36,19,0,0,0,29.82,0,0
TXN_F40E507B4C,USR_6378,66.19,13,0,0,1,7.1,0,0
TXN_8FE69B0C62,USR_5315,12.21,14,0,0,0,0.81,0,0
TXN_F229A6131D,USR_4365,44.57,6,0,0,0,10.29,0,0
TXN_05512DA89A,USR_8180,182.53,11,0,1,0,27.97,1,0
TXN_504889ABAD,USR_8506,38.09,8,0,0,0,9.9,0,0
TXN_FA7F05E634,USR_3737,34.2,6,0,0,0,21.41,0,0
TXN_894313DD11,USR_1300,26.54,8,0,0,1,4.06,0,0
TXN_B6C44D0A1A,USR_8425,291.04,8,0,0,0,4.08,0,0
TXN_4B7FD5B21F,USR_2382,87.65,10,0,1,0,9.41,0,0
TXN_46A11A1050,USR_8746,6.85,9,0,0,0,0.52,0,0
TXN_FF663558C0,USR_1038,34.57,13,0,0,0,22.23,0,0
TXN_7EEEE8BB5B,USR_3707,28.03,7,0,0,0,4.52,0,0
TXN_E3479999E0,USR_9756,46.54,22,0,0,0,28.03,0,0
TXN_7095E2A701,USR_5358,2417.53,1,0,1,0,249.82,1,1
TXN_539940C965,USR_8035,13.21,12,0,0,0,21.13,0,0
TXN_501D7BB06D,USR_7603,32.36,11,0,0,0,1.64,0,0
TXN_CD0A4B70B9,USR_9351,53.39,8,0,0,0,2.57,0,0
TXN_A7E170FD8F,USR_7276,26.66,12,0,0,0,6.41,0,0
TXN_4FE38E2505,USR_1062,33.92,22,1,0,0,25.48,0,0
TXN_783077A6EA,USR_8089,223.92,19,0,0,0,2.64,0,0
TXN_9D73C5A13D,USR_4039,64.09,9,0,0,0,1.11,0,0
TXN_6410CF3CE4,USR_9043,4953.21,3,1,1,1,5011.57,1,1
TXN_2C4455485F,USR_2360,1567.1,4,1,1,1,10808.92,0,1
TXN_079C8884D0,USR_8422,41.53,18,0,0,0,3.54,0,0
TXN_5B1B3AE4DA,USR_7322,529.63,20,0,0,0,8.9,0,0
TXN_734CE8A1D8,USR_3506,31.1,17,1,0,0,5.25,0,0
TXN_4E7A72D2AA,USR_5942,181.34,6,0,0,0,1.68,0,0
TXN_96C487DFE8,USR_6580,3.71,17,0,0,0,12.41,0,0
TXN_D362587B8F,USR_6493,24.92,19,0,0,0,0.11,0,0
TXN_00D0035B55,USR_8691,140.0,9,0,0,0,34.2,1,0
TXN_5E2683458D,USR_2033,7.25,13,0,0,0,25.06,0,0
TXN_02C8B602D0,USR_9339,39.43,15,0,0,0,20.09,0,0
TXN_94EC7773B9,USR_2050,61.83,8,0,0,0,24.8,0,0
TXN_D3F653AA4B,USR_8940,24.09,11,0,0,0,1.01,0,0
TXN_910D3A79EA,USR_4253,71.9,20,1,0,0,40.97,0,0
TXN_8C8576B25A,USR_3832,94.28,11,0,1,0,3.63,0,0
TXN_BA49C4CCA0,USR_3939,163.75,13,0,0,0,15.93,0,0
TXN_738011882B,USR_7490,95.26,8,0,1,0,2.77,0,0
TXN_970135D980,USR_8582,180.58,20,0,0,0,18.11,0,0
TXN_3DF5639AC4,USR_9242,41.14,0,0,0,0,4.02,0,0
TXN_CC0D854174,USR_7569,57.79,17,0,0,0,4.29,0,0
TXN_DC126F0988,USR_9896,42.73,7,1,0,0,13.32,1,0
TXN_7CE2AE938F,USR_2073,209.73,6,0,0,0,16.1,0,0
TXN_AA9C27DDD5,USR_8318,38.66,22,0,0,1,13.32,0,0
TXN_87DFE9D007,USR_1016,28.81,15,0,0,0,7.7,0,0
TXN_B4E6CDA41A,USR_3416,48.05,12,1,0,0,54.89,0,0
TXN_FAA15790DD,USR_4503,0.25,5,1,1,0,13131.58,1,1
TXN_8FA5A05B4A,USR_6074,1.0,5,1,1,1,14776.91,1,1
TXN_68497E6B90,USR_6722,82.92,11,0,0,0,19.4,0,0
TXN_0B00B303B3,USR_4741,17.02,9,0,0,0,1.82,0,0
TXN_E4C76536F2,USR_1354,88.95,13,0,0,0,38.58,0,0
TXN_D97CE196CC,USR_2593,150.1,14,0,0,1,6.28,0,0
TXN_3289B97EBF,USR_6744,102.87,9,0,0,0,12.28,0,0
TXN_D4E6D6C44F,USR_9114,32.75,11,1,0,0,12.84,0,0
TXN_10BE6F40E4,USR_5345,0.38,4,1,0,1,1238.77,1,1
TXN_751CC5AA4B,USR_2161,52.45,10,0,0,0,8.35,1,0
TXN_9E1E9CAAC2,USR_9584,317.07,12,0,0,0,14.35,0,0
TXN_55FFE2BE06,USR_5288,33.34,11,0,0,0,50.93,0,0
TXN_E5C68CA441,USR_2075,20.37,6,0,0,0,5.35,0,0
TXN_E14755D793,USR_5357,2555.94,5,0,1,1,14275.73,1,1
TXN_8A8E4EC72B,USR_5289,26.14,0,0,0,0,18.99,0,0
TXN_CB7B41399F,USR_4552,0.03,4,1,1,1,8782.88,1,1
TXN_B64697E639,USR_3293,383.62,7,0,0,0,4.58,0,0
TXN_5EBF26D2EF,USR_4381,286.98,0,1,0,0,4.68,0,0
TXN_21FC4CFD39,USR_3734,9.51,6,0,0,0,5.77,0,0
TXN_E43B33D0EA,USR_7396,64.86,19,0,0,0,1.25,0,0
TXN_AA4DC4C865,USR_8416,107.63,15,0,0,0,70.75,0,0
TXN_B8A05A5D32,USR_1077,158.13,14,0,0,0,10.76,0,0
TXN_871C9C6E48,USR_4789,90.66,16,0,0,0,6.29,0,0
TXN_F31FF73035,USR_2915,220.49,9,0,0,0,8.1,0,0
TXN_8B622AF38F,USR_7956,30.65,16,0,0,0,0.2,0,0
TXN_CF1A116603,USR_5656,23.39,7,0,0,0,0.41,0,0
TXN_5D87272F70,USR_9092,363.85,6,0,0,0,51.29,0,0
TXN_3829A2185C,USR_2237,95.56,18,0,0,0,6.02,0,0
TXN_33A87CBF48,USR_2059,44.5,9,0,0,0,0.73,0,0
TXN_FD623FF952,USR_2902,52.58,13,0,0,0,2.68,0,0
TXN_C80299ED0B,USR_4775,32.8,4,0,0,1,4.24,0,0
TXN_F907A48277,USR_4412,38.98,14,0,0,0,1.86,0,0
TXN_58968B2874,USR_1622,99.9,15,1,1,0,5.08,0,0
TXN_E2046F99E1,USR_2531,24.54,16,0,0,0,19.37,0,0
TXN_D72962DE0E,USR_8162,15.97,15,0,0,0,0.53,0,0
TXN_22AE82C350,USR_8432,41.32,18,0,0,0,24.49,0,0
TXN_4F0372BEC2,USR_9345,12.9,20,0,0,0,46.01,0,0
TXN_CD1FC7C8A9,USR_8670,53.1,6,0,0,1,1.88,0,0
TXN_C6F90BE3EF,USR_8953,45.78,22,0,0,0,14.16,0,0
TXN_824B6B8163,USR_5132,467.56,10,0,0,0,26.64,0,0
TXN_24C7688BD2,USR_1303,59.55,19,0,0,0,20.35,0,0
TXN_146D634736,USR_4747,0.32,1,1,1,1,329.22,1,1
TXN_47A0D1601D,USR_4487,165.34,20,1,0,0,0.61,0,0
TXN_547EA6D45C,USR_5920,488.92,18,0,0,0,11.64,0,0
TXN_B50A77898D,USR_1385,120.59,23,0,0,0,14.13,0,0
TXN_630D203DE1,USR_4232,77.18,8,0,0,0,24.77,0,0
TXN_B43656F89E,USR_7266,26.33,19,0,0,0,21.25,0,0
TXN_CD82AD47E1,USR_8381,39.9,22,0,0,0,11.7,0,0
TXN_A09DC0FCB0,USR_8544,40.4,14,0,0,0,71.1,0,0
TXN_E9CEEDFE5D,USR_7140,0.81,2,1,1,1,944.66,1,1
TXN_D0F8CC868A,USR_7171,40.63,16,0,0,0,9.94,0,0
TXN_E491E18B9A,USR_2547,24.71,10,0,0,0,15.48,0,0
TXN_C95D9A66BB,USR_4699,24.44,21,0,0,0,8.47,0,0
TXN_F6E6C839E6,USR_4377,94.24,17,0,1,0,1.82,0,0
TXN_CF82815BB6,USR_3645,28.97,22,0,0,0,14.07,0,0
TXN_5F3C8DB56F,USR_4716,63.91,22,0,0,0,24.93,0,0
TXN_F9E6067E76,USR_6951,97.45,16,0,0,0,4.03,0,0
